Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
MDT,Medtronic,"['Technology', 'Healthcare']",9,-3,-0.333,"0,002"
MET,MetLife,['Finance'],3,-3,-1.0,"0,0009"
META,Meta Platforms,['Technology'],8,-4,-0.5,"0,0339"
MGM,MGM Resorts,['Industrials'],1,1,1.0,"0,0002"
MHK,Mohawk Industries,['Industrials'],1,1,1.0,"0,0001"
MKC,McCormick & Company,['Industrials'],1,1,1.0,"0,0003"
MKTX,MarketAxess,"['Technology', 'Finance']",10,-6,-0.6,"0,0001"
MLM,Martin Marietta Materials,['Industrials'],1,1,1.0,"0,0006"
MMC,Marsh McLennan,['Finance'],3,-3,-1.0,"0,0018"
MMM,3M,['Industrials'],1,1,1.0,"0,0014"
MNST,Monster Beverage,['Industrials'],1,1,1.0,"0,0011"
MO,Altria,['Industrials'],1,1,1.0,"0,0019"
MOH,Molina Healthcare,['Healthcare'],2,0,0.0,"0,0001"
MOS,Mosaic Company (The),['Industrials'],1,1,1.0,"0,0002"
MPC,Marathon Petroleum,['Energy'],1,1,1.0,"0,0008"
MPWR,Monolithic Power Systems,['Technology'],8,-4,-0.5,"0,0007"
MRK,"Merck & Co,",['Healthcare'],2,0,0.0,"0,0036"
MRNA,Moderna,['Healthcare'],2,0,0.0,"0,0002"
MS,Morgan Stanley,['Finance'],3,-3,-1.0,"0,0041"
MSCI,MSCI,['Finance'],3,-3,-1.0,"0,0008"
MSFT,Microsoft,['Technology'],8,-4,-0.5,"0,0667"
MSI,Motorola Solutions,"['Technology', 'Industrials']",9,-3,-0.333,"0,0013"
MTB,M&T Bank,['Finance'],3,-3,-1.0,"0,0005"
MTCH,Match Group,['Technology'],8,-4,-0.5,"0,0002"
MTD,Mettler Toledo,['Finance'],3,-3,-1.0,"0,0005"
MU,Micron Technology,['Technology'],8,-4,-0.5,"0,0024"
NCLH,Norwegian Cruise Line Holdings,['Industrials'],1,1,1.0,"0,0002"
NDAQ,"Nasdaq, Inc,","['Technology', 'Finance']",10,-6,-0.6,"0,0009"
NDSN,Nordson Corporation,['Industrials'],1,1,1.0,"0,0002"
NEE,NextEra Energy,['Energy'],1,1,1.0,"0,0026"
NEM,Newmont,['Energy'],1,1,1.0,"0,0013"
NFLX,Netflix,['Technology'],8,-4,-0.5,"0,009"
NI,NiSource,['Public Services'],4,-2,-0.5,"0,0003"
NKE,"Nike, Inc,",['Industrials'],1,1,1.0,"0,0019"
NOC,Northrop Grumman,['Industrials'],1,1,1.0,"0,0014"
NOW,ServiceNow,['Technology'],8,-4,-0.5,"0,003"
NRG,NRG Energy,['Energy'],1,1,1.0,"0,0005"
NSC,Norfolk Southern Railway,['Industrials'],1,1,1.0,"0,0011"
NTAP,NetApp,['Technology'],8,-4,-0.5,"0,0004"
NTRS,Northern Trust,['Finance'],3,-3,-1.0,"0,0004"
NUE,Nucor,['Industrials'],1,1,1.0,"0,0006"
NVDA,Nvidia,['Technology'],8,-4,-0.5,"0,0765"
NVR,"NVR, Inc,",['Industrials'],1,1,1.0,"0,0004"
NWS,News Corp (Class B),['Public Services'],4,-2,-0.5,"0,0001"
NWSA,News Corp (Class A),['Public Services'],4,-2,-0.5,"0,0002"
NXPI,NXP Semiconductors,['Technology'],8,-4,-0.5,"0,001"
O,Realty Income,['Technology'],8,-4,-0.5,"0,0009"
ODFL,Old Dominion,['Industrials'],1,1,1.0,"0,0005"
OKE,ONEOK,['Energy'],1,1,1.0,"0,0008"
OMC,Omnicom Group,['Energy'],1,1,1.0,"0,0003"
ON,ON Semiconductor,['Technology'],8,-4,-0.5,"0,0004"
ORCL,Oracle Corporation,['Technology'],8,-4,-0.5,"0,0118"
ORLY,O'Reilly Auto Parts,['Industrials'],1,1,1.0,"0,0015"
OTIS,Otis Worldwide,['Industrials'],1,1,1.0,"0,0006"
OXY,Occidental Petroleum,['Energy'],1,1,1.0,"0,0008"
PANW,Palo Alto Networks,['Technology'],8,-4,-0.5,"0,002"
PAYC,Paycom,['Technology'],8,-4,-0.5,"0,0002"
PAYX,Paychex,['Technology'],8,-4,-0.5,"0,0009"
PCAR,Paccar,['Industrials'],1,1,1.0,"0,0009"
PCG,PG&E Corporation,['Public Services'],4,-2,-0.5,"0,0006"
PEG,Public Service Enterprise Group,"['Public Services', 'Energy']",5,-1,-0.2,"0,0007"
PEP,PepsiCo,['Public Services'],4,-2,-0.5,"0,0035"
PFE,Pfizer,['Healthcare'],2,0,0.0,"0,0025"
PFG,Principal Financial Group,['Finance'],3,-3,-1.0,"0,0003"
PG,Procter & Gamble,['Industrials'],1,1,1.0,"0,0062"
PGR,Progressive Corporation,['Finance'],3,-3,-1.0,"0,0025"
PH,Parker Hannifin,['Industrials'],1,1,1.0,"0,0016"
PHM,PulteGroup,['Industrials'],1,1,1.0,"0,0004"
PKG,Packaging Corporation of America,['Industrials'],1,1,1.0,"0,0003"
PLD,Prologis,['Industrials'],1,1,1.0,"0,0017"
PLTR,Palantir Technologies,['Technology'],8,-4,-0.5,"0,0074"
PM,Philip Morris International,['Industrials'],1,1,1.0,"0,0044"
PNC,PNC Financial Services,['Finance'],3,-3,-1.0,"0,0013"
PNR,Pentair,['Industrials'],1,1,1.0,"0,0003"
PNW,Pinnacle West,['Public Services'],4,-2,-0.5,"0,0002"
PODD,Insulet Corporation,['Healthcare'],2,0,0.0,"0,0004"
POOL,Pool Corporation,['Industrials'],1,1,1.0,"0,0002"
PPG,PPG Industries,['Industrials'],1,1,1.0,"0,0004"
PPL,PPL Corporation,['Public Services'],4,-2,-0.5,"0,0005"
PRU,Prudential Financial,['Finance'],3,-3,-1.0,"0,0006"
PSA,Public Storage,['Public Services'],4,-2,-0.5,"0,0008"
PSX,Phillips 66,['Energy'],1,1,1.0,"0,0009"
PTC,"PTC Inc,",['Technology'],8,-4,-0.5,"0,0004"
PWR,Quanta Services,['Industrials'],1,1,1.0,"0,001"
PYPL,PayPal,"['Technology', 'Finance']",10,-6,-0.6,"0,0011"
QCOM,Qualcomm,['Technology'],8,-4,-0.5,"0,0029"
RCL,Royal Caribbean Group,['Industrials'],1,1,1.0,"0,0015"
REG,Regency Centers,['Finance'],3,-3,-1.0,"0,0002"
REGN,Regeneron Pharmaceuticals,['Healthcare'],2,0,0.0,"0,001"
RF,Regions Financial Corporation,['Finance'],3,-3,-1.0,"0,0004"
RJF,Raymond James Financial,['Finance'],3,-3,-1.0,"0,0006"
RL,Ralph Lauren Corporation,['Industrials'],1,1,1.0,"0,0003"
RMD,ResMed,['Healthcare'],2,0,0.0,"0,0007"
ROK,Rockwell Automation,['Industrials'],1,1,1.0,"0,0007"
ROL,"Rollins, Inc,",['Industrials'],1,1,1.0,"0,0005"
ROP,Roper Technologies,['Industrials'],1,1,1.0,"0,001"
ROST,Ross Stores,['Industrials'],1,1,1.0,"0,0008"
